count;license;deja_en_base;title;sinp_uuid;key;doi;jdd_local;nb_local
7353;CC-BY;non;Observations opportunistes de flore vasculaire, bryophytes, champignons et lichens-Observations opportunistes Flore, Fonge et Bryophytes des salariés et bénévoles de l'association Nature en Occitanie (ex-Nature en Midi-Pyrénées) en Midi-Pyrénées;;e1cf9737-844f-4de5-938c-04265c598542;10.15468/cdf7g3;;
7241;CC-BY;non;Autres etudes et projets menés par les CEN d'Occitanie - Données ANA - CEN Ariège sur diverses études;63966993-9ff6-47d8-b59b-152320fb5be6;63966993-9ff6-47d8-b59b-152320fb5be6;10.15468/dq6q63;;
7193;CC-BY;non;Données naturalistes opportunistes Faune-France - Liste des espèces de la faune sauvage de la base de données naturalistes Faune-France 2018.;1fec2829-4ac0-4329-b448-6f768b8d3427;1fec2829-4ac0-4329-b448-6f768b8d3427;10.15468/wkzdf4;;
6967;CC-BY;non;Données STOC-EPS;c4e76595-b467-4f88-8067-b8de661b99c5;c4e76595-b467-4f88-8067-b8de661b99c5;10.15468/ocucid;;
6477;CC-BY;non;Saisie naturaliste opportuniste dans SICEN Occitanie - Données ANA - CEN Ariège opportunistes;9496873c-3760-4f64-af01-c074d5fa312c;9496873c-3760-4f64-af01-c074d5fa312c;10.15468/ettenu;;
6012;CC-BY;non;Plan régional d’action pour la conservation des plantes messicoles et plantes remarquables des cultures, vignes et vergers en Midi-Pyrénées-Données d'inventaires et suivis des messicoles receuillies par l'ANA en Midi-Pyrénées;c7756f43-0347-434c-98fd-934c51c456d4;c7756f43-0347-434c-98fd-934c51c456d4;10.15468/2rh7z7;;
5845;CC-BY;non;Suivi d'oiseaux sauvages par marquage en France - CRBPO - Base de données de baguage et déplacements d'oiseaux de France / Bird ringing and movement database for France. Centre de Recherches sur la Biologie des Populations d'Oiseaux, Muséum National d'Histoire Naturelle, Paris, France. https://crbpo.mnhn.fr/;7d539268-815c-4ebd-bb42-70f5039d4c60;7d539268-815c-4ebd-bb42-70f5039d4c60;10.15468/yf8wjf;;
5583;CC-BY;non;Versement collectif Faune Occitanie 2020 amphibiens, reptiles, mammifères;;a67ec884-e895-4e14-a3c7-fc39795ee749;10.15468/vhzcke;;
5079;CC-BY;non;ONF - Observations et inventaires MOA ONF-ONF - Observations opportunistes et inventaires;017f23ba-bf04-4eb7-a076-04ab2e5de250;017f23ba-bf04-4eb7-a076-04ab2e5de250;10.15468/tgap4x;;
5063;CC-BY;non;Import données Baznat mam;745cabaf-11a2-44bf-bc34-dd5a8044eb69;745cabaf-11a2-44bf-bc34-dd5a8044eb69;10.15468/aru2bf;;
5029;CC-BY-NC;non;Données d'observation flore du réseau des CBN issues du système d'information de la FCBN;;d7cc19ba-7785-4131-ab63-3328a99ecfab;10.15468/6klyyk;;
4969;CC-BY;non;Import données Baznat Herpeto;bf305db3-6f8f-44df-b3b8-e7644d24daac;bf305db3-6f8f-44df-b3b8-e7644d24daac;10.15468/3r6aek;;
4916;CC-BY;non;Observations opportunistes de flore vasculaire, bryophytes, champignons et lichens-Observations Flore, Fonge et Bryophytes du CEN Midi-Pyrénées;023738a3-115f-4add-be40-20d9d28b8165;023738a3-115f-4add-be40-20d9d28b8165;10.15468/sp899f;;
4878;CC-BY;non;Import données Baznat invert;;4cb7bf6d-fb33-440c-a686-2606ef12ec07;10.15468/j4w6qu;;
4792;CC-BY;non;Données ONF faune-flore-fonge;43027054-3812-4599-b7bc-a01f1df5b071;43027054-3812-4599-b7bc-a01f1df5b071;10.15468/ykstli;;
4696;CC-BY;non;Appui technique et scientifique pour la mise en œuvre du réseau Natura 2000 en Midi-Pyrénées puis Occitanie-Inventaires réalisés par le CBNPMP pour sa mission d'appui à Natura 2000 en Midi-Pyrénées;f5e821ce-014b-43c3-b55d-a772933c8aa4;f5e821ce-014b-43c3-b55d-a772933c8aa4;10.15468/zkzty5;;
4093;CC-BY;non;Recherche et suivi de la flore rare et menacée sur le TAG du CBNPMP-Recherche et suivi de la flore rare et menacée par le CBNPMP en Occitanie;90f9536e-8f86-4fa4-acf3-b20c7e02d586;90f9536e-8f86-4fa4-acf3-b20c7e02d586;10.15468/guqt4x;;
4080;CC-BY;non;"Déterminations et observations du Forum ""Le Monde des Insectes"" (LMDI)-Données photographiques validées de la galerie du forum ""Le Monde des Insectes""";54facf62-bf0c-43e7-9972-4fdc407fa6c5;54facf62-bf0c-43e7-9972-4fdc407fa6c5;10.15468/2vjhg8;;
4037;CC-BY;non;Atlas des Orchidées de France métropolitaine (2010);92204c07-5011-47ac-82b7-4050858a9cd0;92204c07-5011-47ac-82b7-4050858a9cd0;10.15468/ml5pe4;;
3426;CC-BY;non;Expédition De Candolle-Inventaire sur le parcours pyrénéen de De Candolle;6a4d8120-5d14-4f16-805a-260122d1359c;6a4d8120-5d14-4f16-805a-260122d1359c;10.15468/uunx2g;;
3406;CC-BY;non;Rapportage 2013-2018 au titre de la directive Oiseaux - Données de synthèse Oiseaux nicheurs issues du rapportage au titre de la directive Oiseaux - période 2013-2018;008815d5-eb13-4ea2-957e-bd35e2769e66;008815d5-eb13-4ea2-957e-bd35e2769e66;10.15468/3hv86k;;
3288;CC-BY;non;Rapportage 2008-2012 au titre de la directive Oiseaux - Données de synthèse Oiseaux nicheurs issues du rapportage au titre de la directive Oiseaux - période 2008-2012;8b2a60ba-9044-4f8b-8b24-b0b243814ace;8b2a60ba-9044-4f8b-8b24-b0b243814ace;10.15468/bpry5a;;
3189;CC-BY-NC;non;Inventaire national des araignées de France métropolitaine;;38b69d98-e980-4a30-aaf7-f9616d34ae02;10.15468/hvhqtg;;
3060;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs - données araignées de DEJEAN Sylvain et DANFLOUS Samuel;1b8ab2fc-1b1c-4132-8142-d416ebf76d7c;1b8ab2fc-1b1c-4132-8142-d416ebf76d7c;10.15468/4refp9;;
3011;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de Thomas GAILLARD;c186e534-5281-4d9e-a389-f0415aa70331;c186e534-5281-4d9e-a389-f0415aa70331;10.15468/hszqia;;
2857;CC-BY;non;Données naturalistes opportunistes Faune-France - Liste des espèces de la faune sauvage de la base de données naturalistes Faune-France 2017.;af0c7238-b6c5-4a4d-9fa7-7fb94516d0bc;af0c7238-b6c5-4a4d-9fa7-7fb94516d0bc;10.15468/unbilk;;
2734;CC-BY;non;Données de Mammifères issues de Baznat. Midi-Pyrénées - Données Mammifères Midi-Pyrénées enregistrées dans BazNat - Lot 1;d8c540f5-bb74-4748-9634-034ccd8ec52b;d8c540f5-bb74-4748-9634-034ccd8ec52b;10.15468/kyt1fi;;
2691;CC-BY;non;Plans nationaux d'Action (PNA)-Données PNA CEN M-P;5d3fc63a-e3b4-4b8b-8cc2-4b5f0dbdddbe;5d3fc63a-e3b4-4b8b-8cc2-4b5f0dbdddbe;10.15468/4g7r93;;
2607;CC-BY;non;Activité générale du bureau d'étude BIOTOPE (1994 - 2013) - Données acquises dans le cadre de l'activité du bureau d'étude BIOTOPE (1994 - 2013);;6f0b28dc-60cf-4378-b0c4-c6c6979ffcbc;10.15468/d3mzxf;;
2423;CC-BY;non;ASFRA - Jeu de donnée de synthèse de l'Atlas des araignées de France métropolitaine;69718e2b-3e1f-4d84-9215-e575160daf26;69718e2b-3e1f-4d84-9215-e575160daf26;10.15468/bxa2dq;;
2392;CC-BY;non;Appui technique et scientifique à la mise en œuvre de la MAET Herb07 zones humides-Inventaires du CBNPMP dans le cadre du Concours Prairies fleuries en Midi-Pyrénées;6d008445-5195-4797-9c26-595e0f2c989f;6d008445-5195-4797-9c26-595e0f2c989f;10.15468/cjtdkh;;
2320;CC-BY;non;Evaluation des enjeux de biodiversité (flore, fonge, végétations) sur six territoires pilotes de Midi-Pyrénées et restitution aux acteurs du territoire-Relevés phytosiociologiques sur les sites pilotes;04515df8-66dc-4495-8121-cd1b2c21b85d;04515df8-66dc-4495-8121-cd1b2c21b85d;10.15468/xpse2z;;
2125;CC-BY;non;Inventaire des coléoptères saproxyliques de France métropolitaine - Données protocolées et non protocolées de Coléoptères issues des des differents projets de recherche de l'INRAe (ex. CEMAGREFF - IRSTEA);fb34f33e-3ff3-4dec-83d9-40ea0ab6cc92;fb34f33e-3ff3-4dec-83d9-40ea0ab6cc92;10.15468/zmwmmp;;
2117;CC-BY;non;Saisie naturaliste opportuniste dans SICEN Occitanie-Données opportunistes du CEN Occitanie;95a64dba-14ca-4518-9031-da2b52b2247e;95a64dba-14ca-4518-9031-da2b52b2247e;10.15468/yw9h55;;
2084;CC-BY;non;Observatoire de la Biodiversité des Jardins (OBJ)-Données Observatoire des Papillons des Jardins;fe99edff-54d8-43b9-a25d-57964403efa6;fe99edff-54d8-43b9-a25d-57964403efa6;10.15468/wqxpk7;;
2011;CC-BY;non;Inventaires menés dans le cadre du Groupe Invertébrés de Midi-Pyrénées (GIMP)-Données invertébrés en Midi-Pyrénées;bab75746-e8e5-4c72-a7e8-c509cb10392a;bab75746-e8e5-4c72-a7e8-c509cb10392a;10.15468/5bqura;;
1944;CC-BY;non;Données NEO-Observations NEO (saisies avec l'outil géonature OccTax);;23e8afeb-7655-421d-a4a5-ee562e88a475;10.15468/cmafad;;
1799;CC-BY;non;Oiseaux de France métropolitaine en hiver 1977-1981;28c7cc8e-3163-4c3d-ab4e-31ebd28b068d;28c7cc8e-3163-4c3d-ab4e-31ebd28b068d;10.15468/n4aorv;;
1778;CC-BY;non;Inventaire des oiseaux nicheurs de France métropolitaine 2009-2012 - Oiseaux nicheurs de France métropolitaine 2009-2012 - Nidification probable;a71c4bb7-139e-4603-aa37-46c5dbcdf17e;a71c4bb7-139e-4603-aa37-46c5dbcdf17e;10.15468/ofbh6l;;
1759;CC-BY;non;Programme d'observation naturaliste participative avec l'application mobile INPN Espèces - Application INPN Espèces: Observations naturalistes, participatives et opportunistes, fondées sur des photographies;;7247dc2e-b862-4555-b533-7701d183271b;10.15468/2wgzwe;;
1714;CC-BY;non;Inventaire des Mammifères de France - Atlas des ongulés et Lagomorphes de France (Métropole et outre-mer). 2000-2020.;;b47ed41a-b9a4-4108-bdb3-5a61afdf1756;10.15468/dwnptk;;
1665;CC-BY;non;Inventaires du CBNPMP dans le cadre de CARHAB;9cef136b-b61b-41e4-8b37-fce09d9b7c3a;9cef136b-b61b-41e4-8b37-fce09d9b7c3a;10.15468/y676j4;;
1597;CC-BY;non;Suivi Photographique des Insectes Pollinisateurs (SPIPOLL);0797c245-3f7f-42db-b822-550a36b2a922;0797c245-3f7f-42db-b822-550a36b2a922;10.15468/ux80es;;
1553;CC-BY;non;Atlas des Orthoptères et Mantides de France métropolitaine;d9e6df9f-4d2f-4450-b730-e9070e9fab06;d9e6df9f-4d2f-4450-b730-e9070e9fab06;10.15468/rcngrt;;
1529;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de SANNIER David;4f98649c-91c6-464a-8d4d-b7489111e7cd;4f98649c-91c6-464a-8d4d-b7489111e7cd;10.15468/qxvpxk;;
1522;CC-BY;non;Inventaires piscicoles réalisés par les Fédérations de Pêche hors étude et suivi fédéral-Autres données poissons et écrevisses;3ec2d8c8-abba-48f3-aa80-152cfd0463d9;3ec2d8c8-abba-48f3-aa80-152cfd0463d9;10.15468/dqp7h9;;
1486;CC-BY;non;Programmes de connaissance sur les milieux secs d'Occitanie-Données CEN M-P Milieux secs;444d29d0-e07f-4f45-b542-11976b06b3e0;444d29d0-e07f-4f45-b542-11976b06b3e0;10.15468/fk9g6z;;
1479;CC-BY;non;Gestion de sites - Données ANA - CEN Ariège sur la gestion conservatoire (occurences de taxons);588421ef-1a01-42af-9336-d7e648cc73c2;588421ef-1a01-42af-9336-d7e648cc73c2;10.15468/h3x2xw;;
1462;CC-BY;non;Cadre d'acquisition par defaut sans organisme-Contact aléatoire tout règnes confondus, jdd accessible par tous;;ce60e755-5ddb-4de2-875b-3e4326b858cb;10.15468/v3x5mr;;
1374;CC-BY;non;Données Birdlab;43408d27-f127-490c-a15f-477acd24714e;43408d27-f127-490c-a15f-477acd24714e;10.15468/9ep9wq;;
1359;CC-BY;non;Inventaire des oiseaux nicheurs de France métropolitaine 2009-2012 - Oiseaux nicheurs de France métropolitaine 2009-2012 - Nidification certaine;5d467c2a-b758-4005-bd0e-9f76fdb4effa;5d467c2a-b758-4005-bd0e-9f76fdb4effa;10.15468/rj8qkw;;
1290;CC-BY;non;Données de l'atlas des Mammifères sauvages de Midi-Pyrénées (données agrégées à la maille de 10km);c50e8f9e-a554-4e94-a015-bc1e8556a56e;c50e8f9e-a554-4e94-a015-bc1e8556a56e;10.15468/hrpnub;;
1238;CC-BY;non;Système d’évaluation de l’état des Eaux (SEEE) - Données hydrobiologiques sur l'état des eaux de surface - Système d’évaluation de l’état des Eaux (SEEE) - Invertébrés;d9f7b2f6-03b3-4cd3-817b-c61949d79b1d;d9f7b2f6-03b3-4cd3-817b-c61949d79b1d;10.15468/qnez2y;;
1204;CC-BY;non;Projet de renouvellement de l'autorisation d'exploiter la carrière de talc de Trimouns, implantée sur le territoire des communes de Bestiac, Lordat, Montségur et Vernaux (09) - Données naturalistes CBE SARL - Carrière Imérys Talc Luzenac;;f82b3200-8e1e-4545-a257-0b12abea6b92;10.15468/crfb75;;
1197;CC-BY;non;CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de PARADIS Anne-Hélène;c9147f19-8032-48df-8dfc-ee9571956634;c9147f19-8032-48df-8dfc-ee9571956634;10.15468/tntdts;;
